2,0.4,7.2
2,0.8,9.8
2,-1.5,7.3
2,8.1,3.4
2,7.3,2.3
0,10.2,0.5
2,8.3,2.9
2,0.0,7.1
2,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,0.8,9.8
2,-1.5,7.3
2,8.1,3.4
2,7.3,2.3
0,10.2,0.5
2,8.3,2.9
2,0.0,7.1
2,0.9,9.6
6,0.4,7.2
6,0.8,9.8
6,-1.5,7.3
2,8.1,3.4
2,7.3,2.3
4,8.9,0.2
4,10.2,0.5
4,9.7,0.8
2,8.3,2.9
6,0.0,7.1
6,0.9,9.6
-------------------------------------------
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
2,8.5,2.7
0,9.7,0.8
2,8.3,2.9
-------------------------------------------
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
2,8.5,2.7
0,9.7,0.8
2,8.3,2.9
4,0.8,9.8
2,8.1,3.4
2,7.3,2.3
6,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
6,8.5,2.7
0,9.7,0.8
2,8.3,2.9
4,0.9,9.6
-------------------------------------------
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
2,8.5,2.7
0,9.7,0.8
2,8.3,2.9
4,0.8,9.8
2,8.1,3.4
2,7.3,2.3
6,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
6,8.5,2.7
0,9.7,0.8
2,8.3,2.9
4,0.9,9.6
4,0.8,9.8
2,8.1,3.4
10,7.3,2.3
6,9.1,3.1
8,8.9,0.2
0,10.2,0.5
8,9.8,1.2
10,8.5,2.7
8,9.7,0.8
10,8.3,2.9
4,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,-1.5,7.3
0,8.9,0.2
0,11.5,-1.9
0,10.2,0.5
0,9.8,1.2
0,10.3,-0.3
0,9.7,0.8
2,0.0,7.1
2,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,-1.5,7.3
0,8.9,0.2
0,11.5,-1.9
0,10.2,0.5
0,9.8,1.2
0,10.3,-0.3
0,9.7,0.8
2,0.0,7.1
2,0.9,9.6
6,0.4,7.2
6,0.8,9.8
2,-1.5,7.3
4,8.9,0.2
0,11.5,-1.9
4,10.2,0.5
4,9.8,1.2
0,10.3,-0.3
4,9.7,0.8
6,0.0,7.1
6,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,0.8,9.8
0,8.1,3.4
0,7.3,2.3
0,9.1,3.1
0,8.5,2.7
0,8.3,2.9
2,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,0.8,9.8
0,8.1,3.4
0,7.3,2.3
0,9.1,3.1
0,8.5,2.7
0,8.3,2.9
2,0.9,9.6
2,0.4,7.2
6,0.8,9.8
4,8.1,3.4
0,7.3,2.3
4,9.1,3.1
4,8.5,2.7
4,8.3,2.9
6,0.9,9.6
-------------------------------------------
0,0.8,9.8
2,9.1,3.1
0,0.9,9.6
-------------------------------------------
0,0.8,9.8
2,9.1,3.1
0,0.9,9.6
4,0.8,9.8
2,9.1,3.1
4,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,0.8,9.8
0,-1.5,7.3
2,0.0,7.1
2,0.9,9.6
-------------------------------------------
2,0.4,7.2
6,0.8,9.8
0,-1.5,7.3
2,0.0,7.1
6,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,-1.5,7.3
0,9.1,3.1
0,8.9,0.2
0,11.5,-1.9
0,10.2,0.5
0,9.8,1.2
0,10.3,-0.3
0,9.7,0.8
2,0.0,7.1
-------------------------------------------
2,0.4,7.2
2,-1.5,7.3
0,8.9,0.2
0,11.5,-1.9
0,10.2,0.5
0,9.8,1.2
0,10.3,-0.3
0,9.7,0.8
2,0.0,7.1
-------------------------------------------
0,8.1,3.4
2,7.3,2.3
0,9.1,3.1
0,8.5,2.7
0,8.3,2.9
-------------------------------------------
0,8.1,3.4
2,7.3,2.3
0,9.1,3.1
0,8.5,2.7
0,8.3,2.9
-------------------------------------------
0,0.8,9.8
2,0.9,9.6
-------------------------------------------
0,0.8,9.8
2,0.9,9.6
-------------------------------------------
0,0.4,7.2
0,-1.5,7.3
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
2,8.9,0.2
2,10.2,0.5
2,9.8,1.2
2,8.5,2.7
2,9.7,0.8
2,8.3,2.9
0,0.0,7.1
-------------------------------------------
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
2,8.5,2.7
0,9.7,0.8
2,8.3,2.9
-------------------------------------------
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
0,8.9,0.2
0,10.2,0.5
0,9.8,1.2
2,8.5,2.7
0,9.7,0.8
2,8.3,2.9
-------------------------------------------
0,0.8,9.8
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
2,8.5,2.7
2,8.3,2.9
0,0.9,9.6
-------------------------------------------
0,0.8,9.8
2,8.1,3.4
2,7.3,2.3
2,9.1,3.1
2,8.5,2.7
2,8.3,2.9
0,0.9,9.6
-------------------------------------------
0,-1.5,7.3
2,8.1,3.4
2,7.3,2.3
4,8.9,0.2
4,11.5,-1.9
4,10.2,0.5
4,10.3,-0.3
4,9.7,0.8
2,8.3,2.9
-------------------------------------------
0,-1.5,7.3
2,8.1,3.4
2,7.3,2.3
4,8.9,0.2
4,11.5,-1.9
4,10.2,0.5
2,8.5,2.7
4,10.3,-0.3
4,9.7,0.8
2,8.3,2.9
-------------------------------------------
2,0.4,7.2
2,0.8,9.8
2,-1.5,7.3
4,7.3,2.3
0,9.1,3.1
0,8.5,2.7
0,8.3,2.9
2,0.0,7.1
2,0.9,9.6
-------------------------------------------
2,0.4,7.2
2,0.8,9.8
2,-1.5,7.3
4,7.3,2.3
0,9.1,3.1
0,8.5,2.7
0,8.3,2.9
2,0.0,7.1
2,0.9,9.6
-------------------------------------------
4,0.4,7.2
4,-1.5,7.3
0,9.1,3.1
2,11.5,-1.9
2,10.2,0.5
2,10.3,-0.3
4,0.0,7.1
-------------------------------------------
4,0.4,7.2
4,-1.5,7.3
0,9.1,3.1
2,11.5,-1.9
2,10.3,-0.3
4,0.0,7.1
-------------------------------------------
0,0.4,7.2
4,0.8,9.8
0,-1.5,7.3
0,0.0,7.1
4,0.9,9.6
-------------------------------------------
0,0.4,7.2
4,0.8,9.8
0,-1.5,7.3
0,0.0,7.1
4,0.9,9.6
-------------------------------------------
